SCALE_FACTOR,SUBSAMPLING_MODE,CPU,OMP,CUDA
0.5,0,1.520721,2.13029,2.451748
0.5,1,4.341615,5.127633,5.644776
0.6,0,2.144291,3.027597,3.530573
0.6,1,5.652491,7.29461,8.113667
0.7,0,2.969887,4.180521,4.764903
0.7,1,7.561646,10.005605,10.636405
0.8,0,3.800705,5.557336,6.117652
0.8,1,9.564682,12.65565,13.07683
0.9,0,4.805311,7.084652,7.985358
0.9,1,12.271801,16.12015,17.004824
1.0,0,5.903346,8.683885,9.805118
1.0,1,15.152658,19.666004,20.971437
1.1,0,7.187614,10.690921,11.770872
1.1,1,18.140867,23.73016,24.773319
1.2,0,8.422444,12.475683,14.864718
1.2,1,21.203117,28.310091,30.09026
1.3,0,9.895988,14.711259,16.947826
1.3,1,24.399925,32.849083,34.819424
1.4,0,11.28642,17.08567,19.676535
1.4,1,28.737808,38.224567,40.456833
1.5,0,13.123938,19.578251,22.269775
1.5,1,32.249317,42.813435,45.193199
1.6,0,15.029496,22.810459,25.617231
1.6,1,36.882175,49.349354,50.589645
1.7,0,17.206329,25.300903,38.88876
1.7,1,41.460239,55.813385,56.667336
1.8,0,18.712025,28.221918,32.010822
1.8,1,45.285076,61.234219,64.12838
1.9,0,21.298727,27.371311,36.172714
1.9,1,51.89423,69.602211,70.647179
2.0,0,23.21788,35.039944,39.284569
2.0,1,55.693726,75.270889,76.509239
2.1,0,26.038767,33.594147,43.115864
2.1,1,63.409557,83.429092,84.741455
2.2,0,28.61944,42.612629,47.562855
2.2,1,67.637939,90.50885,89.872841
2.3,0,30.103725,46.157589,51.216316
2.3,1,72.833191,98.12545,96.934998
2.4,0,34.432568,51.337036,55.936268
2.4,1,81.534805,108.289017,104.326599
2.5,0,36.90659,55.962101,60.468063
2.5,1,89.211136,117.055466,113.737213
2.6,0,39.900177,59.45034,65.326355
2.6,1,95.59005,123.026947,122.699509
2.7,0,43.703907,65.719414,71.578178
2.7,1,107.120201,136.364624,131.791214
2.8,0,46.973671,71.123405,76.769157
2.8,1,111.541039,149.476685,144.490753
2.9,0,49.420074,76.387276,131.411499
2.9,1,120.834381,155.305206,152.131531
3.0,0,52.887718,79.49482,86.531723
3.0,1,126.946823,164.440186,162.550507
